Num Verticies, Num Threads, Runtime
10, 1, 0.002840
10, 1, 0.002919
10, 1, 0.002674
10, 1, 0.001963
10, 1, 0.001674
10, 2, 0.001326
10, 2, 0.001398
10, 2, 0.001421
10, 2, 0.001214
10, 2, 0.001243
10, 4, 0.000690
10, 4, 0.000542
10, 4, 0.000510
10, 4, 0.000465
10, 4, 0.000483
10, 8, 0.000172
10, 8, 0.000288
10, 8, 0.000489
10, 8, 0.000292
10, 8, 0.000259
10, 16, 0.000002
10, 16, 0.000002
10, 16, 0.000002
10, 16, 0.000002
10, 16, 0.000004
10, 16, 0.000029
10, 32, 0.000008
10, 32, 0.000007
10, 32, 0.000002
10, 32, 0.000002
10, 32, 0.000002
10, 64, 0.000002
10, 64, 0.000002
10, 64, 0.000002
10, 64, 0.000001
10, 64, 0.000001
100, 1, 0.207939
100, 1, 0.271708
100, 1, 0.257081
100, 1, 0.308476
100, 1, 0.329139
100, 2, 0.134861
100, 2, 0.119238
100, 2, 0.119885
100, 2, 0.099199
100, 2, 0.121403
100, 4, 0.053256
100, 4, 0.068850
100, 4, 0.070439
100, 4, 0.065584
100, 4, 0.046136
100, 8, 0.017158
100, 8, 0.026305
100, 8, 0.019424
100, 8, 0.017800
100, 8, 0.021469
100, 16, 0.009306
100, 16, 0.011307
100, 16, 0.006958
100, 16, 0.013730
100, 16, 0.011186
100, 32, 0.003888
100, 32, 0.009375
100, 32, 0.007114
100, 32, 0.003515
100, 32, 0.003292
100, 64, 0.001116
100, 64, 0.001207
100, 64, 0.001370
100, 64, 0.001152
100, 64, 0.001372
1000, 1, 5.514440
1000, 1, 5.630172
1000, 1, 5.546617
1000, 1, 5.511813
1000, 1, 5.518956
1000, 2, 2.784825
1000, 2, 2.776164
1000, 2, 2.777620
1000, 2, 2.788394
1000, 2, 2.787315
1000, 4, 1.394938
1000, 4, 1.390705
1000, 4, 1.395753
1000, 4, 1.397303
1000, 4, 1.389379
1000, 8, 0.699861
1000, 8, 0.699758
1000, 8, 0.699473
1000, 8, 0.700025
1000, 8, 0.699500
1000, 16, 0.347173
1000, 16, 0.348054
1000, 16, 0.347456
1000, 16, 0.347515
1000, 16, 0.347569
1000, 32, 0.193217
1000, 32, 0.190542
1000, 32, 0.195145
1000, 32, 0.192567
1000, 32, 0.190663
1000, 64, 0.200780
1000, 64, 0.136166
1000, 64, 0.202900
1000, 64, 0.109840
1000, 64, 0.217882
