Num Verticies, Num Threads, Runtime
10, 1, 0.000026
10, 1, 0.000026
10, 1, 0.000027
10, 1, 0.000028
10, 1, 0.000024
10, 2, 0.000230
10, 2, 0.000055
10, 2, 0.000052
10, 2, 0.000052
10, 2, 0.000056
10, 4, 0.000256
10, 4, 0.000086
10, 4, 0.000083
10, 4, 0.000086
10, 4, 0.000083
10, 8, 0.000227
10, 8, 0.000152
10, 8, 0.000147
10, 8, 0.000148
10, 8, 0.000147
10, 16, 0.000639
10, 16, 0.000400
10, 16, 0.000387
10, 16, 0.000378
10, 16, 0.000386
10, 32, 0.000976
10, 32, 0.000951
10, 32, 0.000957
10, 32, 0.000906
10, 32, 0.000895
10, 64, 0.002453
10, 64, 0.001811
10, 64, 0.001766
10, 64, 0.001720
10, 64, 0.001760
100, 1, 0.005732
100, 1, 0.005741
100, 1, 0.005757
100, 1, 0.005724
100, 1, 0.005723
100, 2, 0.005835
100, 2, 0.005834
100, 2, 0.005875
100, 2, 0.005800
100, 2, 0.005791
100, 4, 0.005851
100, 4, 0.005785
100, 4, 0.005862
100, 4, 0.005823
100, 4, 0.005813
100, 8, 0.005990
100, 8, 0.006110
100, 8, 0.006030
100, 8, 0.006252
100, 8, 0.005905
100, 16, 0.006501
100, 16, 0.006400
100, 16, 0.006433
100, 16, 0.006421
100, 16, 0.006441
100, 32, 0.006845
100, 32, 0.006852
100, 32, 0.006811
100, 32, 0.006708
100, 32, 0.006847
100, 64, 0.011211
100, 64, 0.007563
100, 64, 0.007614
100, 64, 0.007710
100, 64, 0.007553
1000, 1, 5.346434
1000, 1, 5.274994
1000, 1, 5.345148
1000, 1, 5.279283
1000, 1, 5.289728
1000, 2, 5.345987
1000, 2, 5.332801
1000, 2, 5.378282
1000, 2, 5.362185
1000, 2, 5.329904
1000, 4, 5.381052
1000, 4, 5.383138
1000, 4, 5.399618
1000, 4, 5.384402
1000, 4, 5.389620
1000, 8, 5.413250
1000, 8, 5.412955
1000, 8, 5.416876
1000, 8, 5.419717
1000, 8, 5.409476
1000, 16, 5.257189
1000, 16, 5.226305
1000, 16, 5.242885
1000, 16, 5.211425
1000, 16, 5.228109
1000, 32, 5.246831
1000, 32, 5.229102
1000, 32, 5.269828
1000, 32, 5.279034
1000, 32, 5.341889
1000, 64, 5.301033
1000, 64, 5.255548
1000, 64, 5.305220
1000, 64, 5.320014
1000, 64, 5.351826
2000, 1, 41.595152
2000, 1, 41.333394
2000, 64, 41.959177
2000, 64, 41.987389
2000, 64, 42.236283
2000, 64, 42.240041
